resumen
Time used:
"    Pre = 0.479, Running = 11.5, Post = 0.642, Total = 12.6 "
Fixed effects:
               mean    sd 0.025quant 0.5quant 0.975quant   mode kld
(Intercept)  -5.271 0.007     -5.285   -5.271     -5.256 -5.271   0
factor(sex)2 -0.634 0.004     -0.643   -0.634     -0.626 -0.634   0

Random effects:
  Name	  Model
    age_idx RW1 model
   region_idx BYM2 model
   period_idx RW2 model
   region_period_idx IID model
   cell_idx IID model

Model hyperparameters:
                                                           mean       sd 0.025quant
size for the nbinomial observations (1/overdispersion) 7.35e+04 9.78e+05    136.740
Precision for age_idx                                  1.14e+00 3.36e-01      0.594
Precision for region_idx                               1.31e+02 2.81e+01     86.335
Phi for region_idx                                     5.40e-01 1.46e-01      0.239
Precision for period_idx                               1.10e+02 6.42e+01     22.806
Precision for region_period_idx                        5.49e+06 1.10e+08   2042.593
Precision for cell_idx                                 1.89e+01 1.11e+00     16.454
                                                       0.5quant 0.975quant    mode
size for the nbinomial observations (1/overdispersion) 2.64e+03   3.98e+05  265.71
Precision for age_idx                                  1.09e+00   1.91e+00    1.02
Precision for region_idx                               1.28e+02   1.96e+02  120.77
Phi for region_idx                                     5.48e-01   7.95e-01    0.59
Precision for period_idx                               9.68e+01   2.64e+02   65.13
Precision for region_period_idx                        6.42e+04   2.13e+07 3826.32
Precision for cell_idx                                 1.90e+01   2.07e+01   19.54

Deviance Information Criterion (DIC) ...............: 158712.14
"Deviance Information Criterion (DIC, saturated) ....: -3.04e+10"
Effective number of parameters .....................: 11891.38

Watanabe-Akaike information criterion (WAIC) ...: 157782.67
Effective number of parameters .................: 8424.73

Marginal log-Likelihood:  -83640.40 
 is computed 
Posterior summaries for the linear predictor and the fitted values are computed
(Posterior marginals needs also 'control.compute=list(return.marginals.predictor=TRUE)')

